#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.35e+02    2.91e+02      1.26e-01    1.13e+00      1.35e+00    2.91e+00    1.0e-03
   1000      3.18e+01    6.24e+01      7.76e-01    5.23e-01      3.18e-01    6.24e-01    1.0e-03
   2000      1.41e+01    2.41e+01      4.97e-01    3.26e-01      1.41e-01    2.41e-01    1.0e-03
   3000      5.23e+01    3.55e+01      1.84e-01    3.92e-01      5.23e-01    3.55e-01    1.0e-03
   4000      3.89e+01    5.30e+01      2.76e-02    3.86e-02      3.89e-01    5.30e-01    1.0e-03
   5000      2.98e+01    4.11e+01      2.69e-01    2.17e-01      2.98e-01    4.11e-01    8.4e-04
   6000      2.68e+01    3.17e+01      5.71e-02    7.01e-02      2.68e-01    3.17e-01    8.4e-04
   7000      1.43e+01    2.73e+01      7.10e-02    8.64e-03      1.43e-01    2.73e-01    8.4e-04
   8000      2.17e+01    3.00e+01      5.48e-02    1.79e-02      2.17e-01    3.00e-01    8.4e-04
   9000      1.14e+01    3.08e+01      6.02e-01    5.10e-01      1.14e-01    3.08e-01    8.4e-04
  10000      2.52e+01    3.23e+01      1.67e-03    3.93e-02      2.52e-01    3.23e-01    7.1e-04
  11000      2.73e+01    1.93e+01      4.79e-02    2.53e-02      2.73e-01    1.93e-01    7.1e-04
  12000      2.62e+01    2.02e+01      4.44e-02    5.80e-02      2.62e-01    2.02e-01    7.1e-04
  13000      2.51e+01    4.14e+01      6.35e-02    6.83e-02      2.51e-01    4.14e-01    7.1e-04
  14000      1.75e+01    2.55e+01      1.50e-02    2.91e-02      1.75e-01    2.55e-01    7.1e-04
  15000      2.51e+01    1.51e+01      2.34e-01    1.73e-01      2.51e-01    1.51e-01    6.0e-04
  16000      1.64e+01    2.52e+01      6.97e-03    1.77e-02      1.64e-01    2.52e-01    6.0e-04
  17000      1.78e+01    2.77e+01      1.84e-01    1.35e-01      1.78e-01    2.77e-01    6.0e-04
  18000      1.41e+01    4.48e+01      9.58e-02    2.22e-02      1.41e-01    4.48e-01    6.0e-04
  19000      2.32e+01    2.17e+01      3.74e-02    5.12e-02      2.32e-01    2.17e-01    6.0e-04
  20000      2.06e+01    2.08e+01      3.20e-03    9.87e-03      2.06e-01    2.08e-01    5.0e-04
  21000      2.11e+01    1.11e+01      8.18e-03    1.16e-01      2.11e-01    1.11e-01    5.0e-04
  22000      4.01e+01    2.71e+01      7.25e-02    3.08e-02      4.01e-01    2.71e-01    5.0e-04
  23000      2.36e+01    1.63e+01      1.07e-02    8.67e-02      2.36e-01    1.63e-01    5.0e-04
  24000      1.98e+01    1.67e+01      1.25e-01    7.47e-02      1.98e-01    1.67e-01    5.0e-04
  25000      2.89e+01    2.25e+01      4.92e-03    1.81e-02      2.89e-01    2.25e-01    4.3e-04
  26000      3.18e+01    8.37e+00      5.84e-02    2.90e-02      3.18e-01    8.37e-02    4.3e-04
  27000      3.37e+01    1.13e+01      6.19e-02    1.68e-01      3.37e-01    1.13e-01    4.3e-04
  28000      2.09e+01    2.86e+01      4.89e-02    7.39e-02      2.09e-01    2.86e-01    4.3e-04
  29000      1.98e+01    1.05e+01      1.12e-02    5.62e-03      1.98e-01    1.05e-01    4.3e-04
  30000      2.59e+01    2.61e+01      5.06e-02    8.31e-02      2.59e-01    2.61e-01    3.6e-04
  31000      1.92e+01    2.33e+01      2.02e-02    5.65e-02      1.92e-01    2.33e-01    3.6e-04
  32000      3.70e+01    3.13e+01      3.25e-02    4.56e-03      3.70e-01    3.13e-01    3.6e-04
  33000      1.09e+01    2.01e+01      7.30e-02    3.98e-02      1.09e-01    2.01e-01    3.6e-04
  34000      2.85e+01    1.22e+01      2.03e-03    6.20e-02      2.85e-01    1.22e-01    3.6e-04
  35000      1.76e+01    1.67e+01      1.26e-01    7.28e-02      1.76e-01    1.67e-01    3.0e-04
  36000      1.47e+01    3.01e+01      8.85e-03    3.38e-03      1.47e-01    3.01e-01    3.0e-04
  37000      1.42e+01    1.66e+01      2.50e-02    1.76e-02      1.42e-01    1.66e-01    3.0e-04
  38000      1.80e+01    1.67e+01      1.48e-02    4.88e-03      1.80e-01    1.67e-01    3.0e-04
  39000      1.18e+01    1.98e+01      1.77e-02    1.59e-02      1.18e-01    1.98e-01    3.0e-04
  40000      7.35e+00    1.62e+01      1.52e-02    1.44e-01      7.35e-02    1.62e-01    2.5e-04
  41000      2.04e+01    1.73e+01      3.15e-02    3.05e-02      2.04e-01    1.73e-01    2.5e-04
  42000      1.87e+01    4.35e+00      1.89e-02    6.93e-03      1.87e-01    4.35e-02    2.5e-04
  43000      2.47e+01    1.85e+01      1.29e-02    2.27e-02      2.47e-01    1.85e-01    2.5e-04
  44000      2.36e+01    1.82e+01      6.40e-02    1.00e-02      2.36e-01    1.82e-01    2.5e-04
  45000      1.45e+01    2.00e+01      2.52e-02    2.32e-02      1.45e-01    2.00e-01    2.1e-04
  46000      1.48e+01    2.88e+01      2.20e-02    2.04e-02      1.48e-01    2.88e-01    2.1e-04
  47000      1.39e+01    8.43e+00      3.32e-02    1.10e-02      1.39e-01    8.43e-02    2.1e-04
  48000      1.65e+01    4.05e+01      1.26e-02    5.83e-02      1.65e-01    4.05e-01    2.1e-04
  49000      2.12e+01    2.35e+01      5.94e-02    4.51e-02      2.12e-01    2.35e-01    2.1e-04
  50000      2.00e+01    2.57e+01      1.95e-02    5.46e-02      2.00e-01    2.57e-01    1.8e-04
  51000      1.56e+01    2.18e+01      9.06e-03    2.02e-02      1.56e-01    2.18e-01    1.8e-04
