#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.33e+02    1.12e+02      1.16e+00    1.25e+00      1.33e+00    1.12e+00    1.0e-03
   1000      2.66e+01    3.36e+01      1.57e+00    1.26e+00      2.65e-01    3.36e-01    1.0e-03
   2000      3.27e+01    2.17e+01      1.06e+00    1.07e+00      3.27e-01    2.17e-01    1.0e-03
   3000      2.89e+01    3.22e+01      2.71e-01    4.40e-01      2.89e-01    3.22e-01    1.0e-03
   4000      2.42e+01    1.98e+01      7.54e-01    7.01e-02      2.42e-01    1.98e-01    1.0e-03
   5000      1.30e+01    1.36e+01      1.17e-01    1.69e-01      1.30e-01    1.36e-01    8.4e-04
   6000      2.33e+01    2.78e+01      2.55e-01    2.01e-02      2.33e-01    2.78e-01    8.4e-04
   7000      1.12e+02    4.40e+01      4.04e+00    3.22e+00      1.12e+00    4.39e-01    8.4e-04
   8000      1.76e+01    1.94e+01      1.80e-02    1.11e-02      1.76e-01    1.94e-01    8.4e-04
   9000      1.23e+01    1.88e+01      9.93e-03    1.06e-01      1.23e-01    1.88e-01    8.4e-04
  10000      5.14e+01    1.94e+01      1.01e-01    3.43e-02      5.14e-01    1.94e-01    7.1e-04
  11000      2.62e+01    2.10e+01      2.66e-01    3.21e-01      2.62e-01    2.10e-01    7.1e-04
  12000      1.13e+01    6.88e+01      1.46e-01    5.52e-01      1.13e-01    6.87e-01    7.1e-04
  13000      1.61e+01    4.09e+01      7.12e-01    9.37e-01      1.61e-01    4.08e-01    7.1e-04
  14000      3.02e+01    2.14e+01      1.37e+00    1.85e+00      3.02e-01    2.14e-01    7.1e-04
  15000      2.18e+01    9.41e+00      8.38e-01    5.84e-01      2.18e-01    9.39e-02    6.0e-04
  16000      1.98e+01    5.35e+01      3.91e-01    3.01e-01      1.98e-01    5.35e-01    6.0e-04
  17000      3.28e+01    1.32e+01      2.63e-01    4.44e-01      3.28e-01    1.32e-01    6.0e-04
  18000      2.29e+01    4.75e+01      7.46e-02    6.99e-02      2.29e-01    4.75e-01    6.0e-04
  19000      9.02e+00    1.42e+01      7.52e-02    1.11e-02      9.02e-02    1.42e-01    6.0e-04
  20000      2.41e+01    2.22e+01      1.40e-01    1.61e-01      2.41e-01    2.22e-01    5.0e-04
  21000      2.18e+01    1.23e+01      8.63e-02    1.05e-01      2.18e-01    1.23e-01    5.0e-04
  22000      2.45e+01    1.12e+01      3.02e-02    7.79e-03      2.45e-01    1.12e-01    5.0e-04
  23000      2.48e+01    2.55e+01      2.71e-02    4.10e-02      2.48e-01    2.55e-01    5.0e-04
  24000      2.19e+01    2.91e+01      2.65e-02    3.23e-02      2.19e-01    2.91e-01    5.0e-04
  25000      1.83e+01    1.99e+01      2.52e-01    2.08e-01      1.83e-01    1.99e-01    4.3e-04
  26000      1.97e+01    2.08e+01      1.46e+00    1.17e+00      1.97e-01    2.07e-01    4.3e-04
  27000      1.45e+01    2.31e+01      2.07e-01    1.03e-01      1.45e-01    2.31e-01    4.3e-04
  28000      1.55e+01    3.31e+01      2.24e-01    1.75e-01      1.55e-01    3.31e-01    4.3e-04
  29000      1.23e+01    1.58e+01      3.89e-01    1.93e-01      1.23e-01    1.58e-01    4.3e-04
  30000      1.94e+01    9.58e+00      3.48e-02    2.35e-02      1.94e-01    9.58e-02    3.6e-04
  31000      9.92e+00    2.50e+01      2.12e-01    1.29e-01      9.92e-02    2.50e-01    3.6e-04
  32000      6.45e+00    1.27e+01      1.13e-01    6.24e-02      6.45e-02    1.27e-01    3.6e-04
  33000      1.78e+01    2.22e+01      6.12e-02    9.42e-02      1.78e-01    2.22e-01    3.6e-04
  34000      2.89e+01    2.63e+01      4.91e-02    2.09e-02      2.89e-01    2.63e-01    3.6e-04
  35000      1.38e+01    1.10e+01      4.57e-02    2.70e-01      1.38e-01    1.10e-01    3.0e-04
  36000      1.12e+01    2.40e+01      3.29e-01    3.72e-01      1.12e-01    2.40e-01    3.0e-04
  37000      1.28e+01    1.43e+01      1.33e-02    5.30e-02      1.28e-01    1.43e-01    3.0e-04
  38000      2.38e+01    1.43e+01      2.77e-02    4.48e-02      2.38e-01    1.43e-01    3.0e-04
  39000      2.26e+01    2.33e+01      9.87e-02    4.83e-02      2.26e-01    2.33e-01    3.0e-04
  40000      2.25e+01    4.85e+01      3.90e-02    2.68e-02      2.25e-01    4.85e-01    2.5e-04
  41000      2.09e+01    2.19e+01      2.17e-02    3.43e-02      2.09e-01    2.19e-01    2.5e-04
  42000      3.47e+01    2.81e+01      7.60e-02    2.11e-01      3.47e-01    2.81e-01    2.5e-04
  43000      1.49e+01    2.30e+01      1.18e-02    4.23e-02      1.49e-01    2.30e-01    2.5e-04
  44000      1.50e+01    7.76e+00      1.42e-01    2.66e-02      1.50e-01    7.76e-02    2.5e-04
  45000      2.72e+01    2.46e+01      5.45e-03    9.50e-02      2.72e-01    2.46e-01    2.1e-04
  46000      2.25e+01    2.15e+01      2.88e-02    3.01e-02      2.25e-01    2.15e-01    2.1e-04
  47000      1.02e+01    1.56e+01      3.69e-03    3.48e-01      1.02e-01    1.56e-01    2.1e-04
  48000      3.59e+01    2.98e+01      1.65e-02    2.10e-01      3.59e-01    2.98e-01    2.1e-04
  49000      1.05e+01    1.76e+01      2.90e-01    2.55e-01      1.05e-01    1.75e-01    2.1e-04
  50000      4.80e+01    3.33e+01      4.25e-02    1.86e-02      4.80e-01    3.33e-01    1.8e-04
  51000      2.15e+01    1.89e+01      1.00e-01    1.36e-01      2.15e-01    1.89e-01    1.8e-04
  52000      1.53e+01    3.25e+01      2.08e-02    1.60e-02      1.53e-01    3.25e-01    1.8e-04
  53000      2.06e+01    2.85e+01      1.85e-02    1.63e-03      2.06e-01    2.85e-01    1.8e-04
  54000      2.01e+01    8.94e+00      1.63e-02    9.84e-02      2.01e-01    8.94e-02    1.8e-04
  55000      3.08e+01    7.44e+00      6.90e-02    4.23e-03      3.08e-01    7.44e-02    1.5e-04
  56000      6.54e+00    1.65e+00      3.10e-02    3.67e-02      6.54e-02    1.65e-02    1.5e-04
  57000      2.22e+01    1.51e+01      2.86e-02    3.20e-02      2.22e-01    1.51e-01    1.5e-04
  58000      2.74e+01    2.35e+01      2.74e-03    2.70e-02      2.74e-01    2.35e-01    1.5e-04
  59000      5.72e+00    2.26e+01      1.02e-02    1.09e-01      5.72e-02    2.26e-01    1.5e-04
  60000      1.27e+01    1.05e+01      7.94e-02    2.98e-02      1.27e-01    1.05e-01    1.3e-04
  61000      2.27e+01    2.02e+01      2.47e-02    3.89e-02      2.27e-01    2.02e-01    1.3e-04
  62000      1.88e+01    5.47e+01      5.19e-02    3.59e-01      1.88e-01    5.47e-01    1.3e-04
  63000      5.17e+01    1.22e+01      1.67e-01    7.55e-03      5.17e-01    1.22e-01    1.3e-04
  64000      1.48e+01    2.11e+01      1.36e-01    6.21e-04      1.48e-01    2.11e-01    1.3e-04
  65000      2.38e+01    7.13e+00      4.92e-02    4.80e-02      2.38e-01    7.13e-02    1.1e-04
  66000      4.81e+01    6.24e+00      1.49e-02    1.60e-02      4.81e-01    6.24e-02    1.1e-04
  67000      3.46e+01    7.60e+00      2.98e-02    1.37e-01      3.46e-01    7.60e-02    1.1e-04
  68000      1.56e+01    1.34e+01      6.23e-03    4.55e-02      1.56e-01    1.34e-01    1.1e-04
  69000      1.05e+01    4.52e+01      9.48e-03    9.93e-04      1.05e-01    4.52e-01    1.1e-04
  70000      7.16e+00    1.73e+01      6.74e-02    4.69e-02      7.16e-02    1.73e-01    9.1e-05
  71000      1.65e+01    1.93e+01      8.23e-03    3.60e-02      1.65e-01    1.93e-01    9.1e-05
  72000      1.76e+01    9.51e+00      4.53e-03    5.65e-03      1.76e-01    9.51e-02    9.1e-05
  73000      1.47e+01    1.38e+01      9.49e-03    3.78e-02      1.47e-01    1.38e-01    9.1e-05
  74000      3.74e+01    1.98e+01      1.11e-02    3.53e-02      3.74e-01    1.98e-01    9.1e-05
  75000      2.21e+01    2.03e+01      1.46e-02    1.12e-03      2.21e-01    2.03e-01    7.7e-05
  76000      1.40e+01    2.95e+01      4.75e-02    6.23e-03      1.40e-01    2.95e-01    7.7e-05
  77000      2.75e+01    1.02e+01      9.05e-03    2.17e-02      2.75e-01    1.02e-01    7.7e-05
  78000      2.56e+01    1.49e+01      8.92e-03    1.59e-02      2.56e-01    1.49e-01    7.7e-05
  79000      1.32e+01    1.76e+01      3.17e-02    4.35e-02      1.32e-01    1.76e-01    7.7e-05
  80000      2.11e+01    1.59e+01      2.49e-02    2.61e-02      2.11e-01    1.59e-01    6.5e-05
  81000      6.36e+00    1.12e+01      5.52e-02    1.19e-02      6.36e-02    1.12e-01    6.5e-05
  82000      8.18e+00    3.22e+01      3.01e-02    2.75e-04      8.18e-02    3.22e-01    6.5e-05
