#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.52e+02    8.61e+01      1.16e+00    1.24e+00      1.52e+00    8.61e-01    1.0e-03
   1000      4.49e+01    3.06e+01      7.17e+00    5.66e+00      4.44e-01    3.02e-01    1.0e-03
   2000      2.65e+01    2.28e+01      2.60e-02    5.54e-03      2.65e-01    2.28e-01    1.0e-03
   3000      6.72e+01    2.97e+01      3.25e-01    5.15e-02      6.72e-01    2.97e-01    1.0e-03
   4000      2.95e+01    2.17e+01      2.45e-03    2.93e-03      2.95e-01    2.17e-01    1.0e-03
   5000      8.18e+00    2.32e+01      1.65e-01    7.52e-02      8.18e-02    2.32e-01    8.4e-04
   6000      1.47e+01    3.40e+01      7.17e-02    1.41e-01      1.47e-01    3.40e-01    8.4e-04
   7000      2.78e+01    2.27e+01      1.43e-01    1.42e-01      2.78e-01    2.27e-01    8.4e-04
   8000      2.80e+01    3.64e+01      2.87e-02    1.29e-01      2.80e-01    3.64e-01    8.4e-04
   9000      2.55e+01    1.72e+01      1.27e-01    4.39e-02      2.55e-01    1.72e-01    8.4e-04
  10000      2.52e+01    3.06e+01      9.01e-03    3.33e-04      2.52e-01    3.06e-01    7.1e-04
  11000      1.99e+01    2.69e+01      2.39e-02    7.78e-02      1.99e-01    2.69e-01    7.1e-04
  12000      3.47e+01    1.09e+01      1.88e-01    2.19e-01      3.47e-01    1.09e-01    7.1e-04
  13000      1.27e+01    2.56e+01      3.51e-02    1.35e-01      1.27e-01    2.56e-01    7.1e-04
  14000      3.78e+01    1.53e+01      5.07e-02    2.78e-02      3.78e-01    1.53e-01    7.1e-04
  15000      2.24e+01    3.24e+01      2.63e+00    2.43e-01      2.23e-01    3.24e-01    6.0e-04
  16000      3.14e+01    3.28e+01      1.59e-01    1.70e+00      3.14e-01    3.28e-01    6.0e-04
  17000      1.98e+01    1.71e+01      1.58e-01    1.34e-01      1.98e-01    1.71e-01    6.0e-04
  18000      2.43e+01    2.84e+01      1.08e-01    1.47e+00      2.43e-01    2.84e-01    6.0e-04
  19000      6.82e+01    3.07e+01      3.97e-01    1.04e+00      6.82e-01    3.07e-01    6.0e-04
  20000      1.61e+01    3.72e+01      2.17e-01    3.26e-02      1.61e-01    3.72e-01    5.0e-04
  21000      1.38e+01    2.69e+01      2.36e-01    6.02e-02      1.38e-01    2.69e-01    5.0e-04
  22000      2.67e+01    4.55e+01      1.30e-02    1.20e+00      2.67e-01    4.55e-01    5.0e-04
  23000      3.66e+01    4.14e+01      1.62e-01    1.38e+00      3.66e-01    4.14e-01    5.0e-04
  24000      2.49e+01    5.79e+00      6.59e-02    5.75e-01      2.49e-01    5.76e-02    5.0e-04
  25000      1.40e+01    1.32e+01      2.33e-01    5.74e-02      1.40e-01    1.32e-01    4.3e-04
  26000      2.95e+01    1.41e+01      7.53e-01    5.88e-02      2.95e-01    1.41e-01    4.3e-04
  27000      3.87e+01    1.38e+01      1.15e-02    4.98e-02      3.87e-01    1.38e-01    4.3e-04
  28000      1.74e+01    3.35e+01      3.21e-01    4.28e-02      1.74e-01    3.35e-01    4.3e-04
  29000      2.73e+01    2.32e+01      1.18e-01    1.24e-01      2.73e-01    2.32e-01    4.3e-04
  30000      6.68e+00    2.51e+01      2.82e-02    1.01e-01      6.68e-02    2.51e-01    3.6e-04
  31000      2.42e+01    1.41e+01      8.55e-02    1.22e-01      2.42e-01    1.41e-01    3.6e-04
  32000      2.78e+01    4.26e+01      3.69e-02    5.08e-02      2.78e-01    4.26e-01    3.6e-04
  33000      1.86e+01    1.62e+01      6.45e-02    5.54e-02      1.86e-01    1.62e-01    3.6e-04
  34000      2.27e+01    4.54e+01      1.28e-02    1.34e-01      2.27e-01    4.54e-01    3.6e-04
  35000      1.94e+01    3.03e+01      2.34e-02    2.57e-02      1.94e-01    3.03e-01    3.0e-04
  36000      1.01e+01    4.14e+01      8.86e-02    2.79e-02      1.01e-01    4.14e-01    3.0e-04
  37000      2.71e+01    1.74e+01      4.13e-02    3.20e-02      2.71e-01    1.74e-01    3.0e-04
  38000      3.15e+01    4.75e+01      1.34e-01    5.81e-01      3.15e-01    4.75e-01    3.0e-04
  39000      1.12e+01    1.55e+01      3.93e-02    5.84e-03      1.12e-01    1.55e-01    3.0e-04
  40000      1.41e+01    2.14e+01      7.76e-02    3.66e-02      1.41e-01    2.14e-01    2.5e-04
  41000      3.84e+01    1.65e+01      2.09e-02    9.95e-02      3.84e-01    1.65e-01    2.5e-04
  42000      1.65e+01    1.19e+01      3.59e-02    4.20e-02      1.65e-01    1.19e-01    2.5e-04
  43000      1.01e+01    9.27e+00      1.16e-01    5.92e-02      1.01e-01    9.27e-02    2.5e-04
  44000      3.56e+01    4.39e+01      1.04e-01    1.13e-02      3.56e-01    4.39e-01    2.5e-04
  45000      9.43e+00    1.48e+01      1.27e-01    1.31e-01      9.43e-02    1.48e-01    2.1e-04
  46000      1.93e+01    3.60e+01      2.31e-02    1.39e-01      1.93e-01    3.60e-01    2.1e-04
  47000      3.23e+01    1.53e+01      2.04e-01    1.45e-02      3.23e-01    1.53e-01    2.1e-04
  48000      2.27e+01    2.46e+01      1.49e-02    5.32e-03      2.27e-01    2.46e-01    2.1e-04
  49000      1.65e+01    2.71e+01      2.47e-02    1.17e-01      1.65e-01    2.71e-01    2.1e-04
  50000      1.78e+01    3.04e+01      2.53e-02    7.99e-02      1.78e-01    3.04e-01    1.8e-04
  51000      1.07e+01    5.51e+01      1.44e-04    1.60e-01      1.07e-01    5.51e-01    1.8e-04
  52000      1.25e+01    1.39e+01      1.78e-02    2.05e-02      1.25e-01    1.39e-01    1.8e-04
