f,x,y,z
0.09,2,2,2
0.13,2,2,2
0.17,1,1,1
0.19,1,1,1
0.2,1,1,1
0.24,1,1,1
0.24,1,1,1
0.28,1,1,1
0.32,1,1,1
0.35,1,1,1
0.35,1,1,1
0.39,1,1,1
0.39,3,0,0
0.43,1,1,1
0.43,4,0,0
0.43,1,1,1
0.43,4,4,3
0.46,1,1,1
0.46,4,4,0
0.5,1,1,1
0.5,0,4,4
0.5,1,1,1
0.54,3,3,3
0.54,4,4,4
0.54,1,1,1
0.57,0,2,2
0.61,0,0,3
0.61,1,1,1
0.65,0,0,2
0.65,0,0,3
0.65,1,1,1
0.67,2,2,2
0.67,0,0,3
0.67,1,1,1
0.69,2,2,2
0.69,1,1,1
0.72,2,2,2
0.72,0,0,3
0.72,1,1,1
0.74,2,2,2
0.74,0,0,3
0.78,1,1,1
0.78,2,2,2
0.8,0,0,3
0.8,1,1,1
0.85,0,2,2
0.85,0,0,3
0.91,1,2,1
0.96,0,0,2
0.96,1,1,1
0.96,1,1,1
1.02,0,0,2
1.02,1,1,1
1.07,0,0,2
1.13,1,1,1
1.26,1,1,1
1.37,0,0,2
1.37,1,1,1
1.44,1,1,1
1.44,0,0,2
1.48,1,1,1
1.48,0,0,2
1.48,1,1,1
1.5,1,1,1
1.5,1,1,1
1.53,1,1,1
1.53,1,1,1
1.57,1,1,1
1.57,3,3,2
1.61,1,1,1
1.62,3,0,0
1.66,1,1,1
1.7,1,1,1
1.7,1,1,1
1.73,3,3,2
1.73,0,0,3
1.75,1,1,1
1.75,1,1,1
1.82,1,1,1
1.9,1,1,1
1.9,2,2,0
1.9,1,1,1
1.95,1,3,1
2.02,2,0,0
2.02,1,1,1
2.13,2,2,0
2.24,1,1,1
2.24,2,2,0
2.39,1,1,1
2.39,2,2,0
2.51,2,2,1
2.51,2,2,1
2.56,2,2,1
2.56,2,2,1
2.62,2,2,1
2.62,0,0,2
2.67,2,2,1
2.67,2,2,0
2.67,2,2,1
2.72,1,1,1
2.78,2,2,2
2.78,2,2,0
2.83,2,2,1
2.88,2,2,1
2.93,2,2,1
2.99,2,2,1
3.04,1,1,1
3.09,2,0,0
3.09,1,1,1
3.09,1,1,1
3.14,1,1,1
3.14,1,1,1
3.19,1,1,1
3.19,1,1,1
3.25,1,1,1
3.4,1,1,1
3.45,0,0,1
3.5,0,0,1
3.55,0,0,1
3.6,0,0,1
3.65,0,0,1
3.7,1,1,1
3.75,1,1,1
4.04,1,1,1
4.09,2,2,0
4.14,1,1,1
4.18,1,1,0
4.18,1,1,0
4.18,2,0,0
4.18,1,1,1
4.18,2,2,0
4.23,0,0,1
4.28,1,1,0
4.28,1,0,0
4.32,1,1,1
4.37,1,1,1
4.4,1,1,1
4.44,0,0,1
4.44,1,1,0
4.49,1,1,1
4.53,0,0,1
4.58,0,0,1
4.62,1,1,1
4.71,1,1,1
4.79,1,1,1
4.87,1,1,1
4.96,1,1,1
5.04,1,1,1
5.11,1,1,1
5.17,1,1,1
5.23,1,1,1
5.29,1,0,1
5.35,0,1,0
5.41,0,1,0
5.47,1,1,1
5.53,1,1,1
5.58,1,1,1
5.63,1,1,1
5.69,1,1,1
5.74,1,1,1
5.79,1,1,1
5.79,1,1,1
5.83,2,2,2
5.83,1,2,1
5.83,0,1,0
5.88,1,2,2
5.88,0,2,1
5.88,0,1,0
5.92,2,2,2
5.92,2,2,2
5.92,1,0,1
5.97,2,2,2
5.97,2,2,2
5.97,1,0,1
6.01,1,0,0
6.01,1,0,0
6.01,2,2,2
6.05,2,2,2
6.05,0,0,1
6.05,2,2,2
6.09,2,2,2
6.09,0,0,1
6.09,2,2,2
6.12,2,2,2
6.12,0,0,1
6.12,2,2,2
6.16,2,2,2
6.16,0,0,1
6.16,2,2,2
6.19,1,2,1
6.19,0,1,1
6.28,2,2,2
6.28,0,2,1
6.28,0,1,0
6.28,2,2,2
6.31,0,2,1
6.31,2,2,3
6.31,2,2,2
