# Time-averaged data for fix AVE_xx
# TimeStep c_stress_Au1[1] c_stress_Au2[1] c_stress_Au3[1] c_stress_Au4[1] c_stress_Au5[1] c_stress_Au6[1] c_stress_Au7[1] c_stress_Au8[1] c_stress_Au9[1] c_stress_Au10[1] c_stress_Au11[1] c_stress_Au12[1] c_stress_Au13[1] c_stress_Au14[1] c_stress_Au15[1] c_stress_Au16[1] c_stress_Au17[1] c_stress_Au18[1] c_stress_Au19[1] c_stress_Au20[1] c_stress_Au21[1] c_stress_Au22[1] c_stress_Au23[1] c_stress_Au24[1] c_stress_Au25[1] c_stress_Au26[1] c_stress_Au27[1] c_stress_Au28[1] c_stress_Au29[1] c_stress_Au30[1] c_stress_Au31[1] c_stress_Au32[1] c_stress_Au33[1] c_stress_Au34[1] c_stress_Au35[1] c_stress_Au36[1] c_stress_Au37[1] c_stress_Au38[1] c_stress_Au39[1] c_stress_Au40[1] c_stress_Au41[1] c_stress_Au42[1] c_stress_Au43[1] c_stress_Au44[1] c_stress_Au45[1] c_stress_Au46[1] c_stress_Au47[1] c_stress_Au48[1] c_stress_Au49[1] c_stress_Au50[1] c_stress_Au51[1]
1002000 279.915 3687.56 1065.95 2001.83 3100.4 -2111.17 -2886.37 607.391 2570.78 -791.6 92.1532 71.5397 -5840.72 -5027.46 -5521.34 -5459.26 -4731.38 -5998.15 -3446.32 -8900.03 -5755.22 -4766.75 -3438.6 -6967.14 -3486.35 -3658.16 -2067.98 -2935.67 -2056.87 -2492.37 3705.83 -567.951 963.517 -1131.98 7046.02 4319.46 7140.47 6086.5 4900.76 5469.5 1957.6 1909.18 3608.48 2881.37 2139.21 2897.46 3825.74 5452.82 3058.17 1545.52 2602.21
1004000 -613.263 -4360.79 -4556.26 -9435.98 -2726.81 -1005.57 947.135 -3343.48 -3482.82 -2994.9 -4204.14 -1763.95 -1052.92 -2493.65 -78.0567 -4064.72 1049.92 1969.41 3786.83 7123.23 9445.55 5069.59 3582.11 1408.06 4163.62 4481.23 4403.88 2561.52 6493.11 2311.93 6418.71 3699.02 5686.54 264.067 4977.4 772.883 481.256 -705.076 -1569.67 -3074.06 371.945 -907.1 -4237.83 2365.53 -1816.29 -5349.6 -3006.44 -340.576 -3910.99 -173.033 -2905.48
1006000 -7520.88 3032.12 6818.09 6898.93 5491.4 3391.56 2421.85 -1453.39 1373.11 6168.22 4487.41 4472.06 4579.69 10538.4 8672.34 -1689.67 5428.33 5818.42 6740.58 4099.53 4788.3 607.061 -635.698 1538.03 -2029.16 -5183.75 -2973.3 1793.54 204.674 -7617.08 -7693.17 -7991.71 -2832.09 -9679.9 -8310.18 -12511.9 -7466.19 -4097.49 -2974.19 -3714.65 -895.871 -5198.46 -2481.79 -3452.78 -6796.45 -2307.79 -4015.51 -3982.43 -1090.13 -1803.08 7703.95
1008000 1728.76 4673.95 -611.234 632.55 -3834.37 805.047 -822.294 441.124 211.169 1118.24 45.668 -4515.51 -2450.91 -4105.23 -2734.09 -3322.12 301.116 -5820.63 -5890.35 -4821.84 -1223.5 -2677.69 -3092.32 -5738.43 -5588.39 -2310.11 1015.9 1497.99 -2708.15 -433.676 -3517.01 -2866.66 2290.18 1207.46 4362.03 7817.18 8018.03 2932.58 5036.44 3992.22 4803.69 2356.45 6843.26 5609.58 4429.45 2582.33 3476.5 1058.31 2771.22 -1445.5 3891.43
1010000 -7627.38 -5116.75 -6651.52 -4981.98 -5975.98 -3548.26 -3190.44 -3674.64 -7471.08 -3361.52 -6976.5 -2367.61 -4812.74 -5346 -2642.44 -2870.34 -5895.81 -1619.34 4533.44 5051.1 1547.74 4286.06 2811.25 4934.4 6261.53 7842.32 7546.69 7733.67 8594.7 7487.9 11056.8 4409.97 8076.5 8399.68 3679.13 2715.14 -247.847 -1647.3 -2567.06 -1169.46 -2155.31 -667.505 -1762.67 -1844.84 1740.05 -2088.77 -875.719 111.82 -3016.91 -3346.34 1161.51
1012000 911.016 4175.74 8041.51 3548.4 1601.74 -1864.66 -449.619 -332.78 1216.28 3116.71 1841.07 6210.79 7955.3 5769.12 7513.58 7551.03 8920.88 7193.98 5490.93 3940.54 -737.886 -577.943 -1168.09 1161.55 554.087 3945.45 -3133.98 -1300.76 -3243.42 -4938.46 357.7 -5388.77 -9092.05 -6207.6 -8479.73 -5439.66 -3237.31 -8878.19 -2641.85 -1962.19 -8493.99 -7510.25 -3065.49 -2911.99 -2995.24 -1909.89 -1377.08 -3376.93 990.435 -1915.14 7738.65
1014000 -6585.3 160.182 -3066.56 -3889.94 -496.351 -902.323 1092.68 -2061.04 -2190.15 -2940.57 -1719.1 -2332.75 -3837.08 -2720.34 2835.63 174.793 685.24 -3129.15 -6858.87 -4654.53 -4472.82 -1925.33 -4356.88 -1854.74 -4786.69 -598.014 -2144.34 -1290.87 -3415.17 -2684.29 -1523.76 1123.65 -2292.77 -124.742 5500.49 8607.72 8657.94 2730.84 1043.3 5515.98 2570.79 2863.55 3950.3 988.61 2801.09 3088.63 3295.09 2494.11 4152.63 3102.71 10667.6
1016000 -9800.82 -5313.58 -2947.64 -5905.48 -5325.22 -2643.2 -7319.15 -3494.76 -1605.51 -5536.07 -2027.41 -4775.5 -7017.63 -4242.52 -2876.92 -6188.18 -1734.89 -3814.61 1626.27 5824.02 5216.92 1000.07 1324.69 6618.56 7245.02 6293.85 6577.04 4960.6 6423.88 8746.15 6495.8 4379.75 8535.46 6817.92 6974.83 298.103 -4589.57 -3769.1 -502.547 -3420.79 -4581.45 -4366.17 -868.676 -633.29 125.111 1707.78 914.289 -653.708 -2510.47 -4679.05 3685.01
1018000 1196.14 4902.37 1563.76 1838.34 -2660.88 1642.21 730.07 784.148 3787.8 4699.57 9125.34 10295.2 6833.64 6809.03 6591 7078.21 6946.25 5535.43 1715.42 2597.27 2603.5 1661.49 849.965 -869.619 -5604.91 -4912.11 597.09 -2015.32 -2357.62 -549.897 -4009.88 954.601 -2766.89 -10003.3 -9639.89 -10165.4 -6774.19 -6327.83 -3183.86 -4688.49 -4187.7 1471.17 -1854.62 -302.276 297.308 -3289.68 -4032.55 182.47 -1900.25 1300.57 6851.27
1020000 -4283.46 -4265.85 -3737.5 -970.24 -5035.63 -2284.91 -936.999 -2823.43 -597.081 964.743 53.9404 -2339.9 -1198.87 7369.21 1824.49 -1425.47 -3891.81 -9156.63 -6179.84 -9162.8 -6361.05 -1195.95 -4675.79 -4834.6 -8728.42 -4948.21 -5534.74 -5620.53 -2774.39 -1188.33 -3585.43 1583.09 1432.17 7935.44 8836.45 9279.39 8006.76 5338.09 4630.11 2919.66 2557.73 4826.45 4957.87 1926.83 4678.95 3919.32 2912.38 4931.28 4524.15 297.126 7657.88
1022000 -5585.05 -6013.14 -3431.14 -4642.43 -6611.67 -5765.21 -5684.25 -4090.68 -182.994 -1791.27 -3809.5 -6439.57 -9681.91 -1754.03 -3192.11 -2970.65 -4385.55 -3954.03 -47.6596 2568.71 -477.25 3661.68 4881.24 6604.52 6855.22 6318.54 8645.18 6728.91 9170.72 8503.39 8925.54 8942.98 4931.07 3672.24 4808 2727.7 829.42 454.791 -160.122 -2658.14 -6400.62 -4452.53 -3863.64 -4987.08 -1444.94 -209.069 264.782 3962.79 -1583.62 -1402.95 2891.35
1024000 1710.75 1460.24 1737.75 5009.43 5783.61 7581.09 5635 4112.89 1405.02 2335.37 4336.69 5975.66 5833.3 6412.79 6847.37 7879.55 5757.17 6171.9 6952.64 5898.57 3500.4 2126.63 844.694 -645.957 -1279.7 -3610.31 2713.91 -3895.04 -5534.26 -1032.9 -2716.49 -9412.73 -8893.25 -9094.97 -12537.5 -6252.44 -8701.34 -1225.29 -2210.71 -3126.18 -3153.41 -3992.56 -1742.6 -2809.24 -4189.07 -3408.4 -2569.3 -1356.76 1565.95 450.924 5549.98
1026000 -6617.79 -3587.63 75.1288 2875.57 3017.09 174.666 1932.47 902.292 -1055.81 -1655.23 -1925.77 313.418 -1993.34 -2498.57 -4918.88 -7744.63 -8839.8 -6985.2 -4158.81 -3688.35 -5653.74 -7042.08 -7188.05 -4411.48 -4048.76 -4964.01 -2436.96 -6838.07 -4538.76 -4383.46 -2555.88 -1426.66 4179.17 2372.02 8218.07 5061.56 3097.84 3380.47 4734.1 6764.51 6817.66 5345.62 4672.88 7364.66 3663.48 4904.32 3243.44 -1029.68 2195.29 90.2385 6646.35
1028000 -1959.15 -1626.23 -781.884 2829.56 -275.83 -6524.77 -3056.84 -2837.6 -5949.39 -3994.72 -5544.16 -6762.98 -9420.72 -8967.01 -9463.57 -3395.82 -3291.06 -6423.72 -3476.25 -1187.41 3905.18 5123.49 6664.66 8823.61 7413.98 4876.01 8475.23 8050.95 7580.5 11980.3 10250.6 11313.5 7305.75 6581.5 3053.67 4833.36 79.9753 1029.18 441.068 1861.23 -2138.83 -1665.66 -4816.25 -6199.26 -1617.77 -3656.67 1541.35 -3159.28 -5076.1 -4968.76 -4439.99
1030000 -632.792 8395.17 1666.2 340.757 2390.81 4744.59 3755.82 3070.28 4188.32 4742 2842.6 4241.66 7310.66 8799.76 3163.26 7540.49 4007 5183.51 5272.16 8954.45 3403.71 -9.96904 2415.48 145.224 -2726.41 -2415.01 632.052 -2491.6 -1192.77 -1297.17 -7145.87 -7088.91 -5005.85 -9513.41 -5056.24 -7869.84 -4357.93 -3180.46 -1294.51 -634.645 -350.906 -3793.33 -5432.64 -5910.79 -6165.32 -5794.78 -5749.15 -2068.6 1007.72 2445.01 4825.56
1032000 10175.4 2066.06 689.512 -2889.09 724.449 1063.36 2315.84 4008.82 4440.24 359.439 1062.62 4657.63 1656.11 -2181.22 -2813.24 -4602.9 -2842.13 -2256.67 -2227.13 -2477.67 -4082.17 -7162.33 -6150.76 -6218.11 -6779.42 -3243.64 -5744.98 -5305.23 -9463.38 -5120.08 -1779.03 -2818.48 1017.77 1294.77 5379.79 4843.61 3055.17 6475.86 6083.08 6980.69 1713.77 1097.08 2454.6 -60.286 2428.18 2787.51 2925.46 2373 1218.1 2763.95 -12006.4
1034000 -474.475 -283.328 286.938 -2049.64 -4551.97 -5943.52 -2574.13 -4447.01 -2363.48 -1776.5 -3035.11 -6017.22 -7968.22 -8116.02 -7590.79 -813.22 925.895 -424.879 -4500.05 2548.43 -346.196 5831.16 5546.35 7108.73 8381.34 4958.66 6461.72 10275.3 5579.51 4806.51 5504.39 2518.52 3227.07 5958.93 932.464 -3589.49 -880.952 -2578.35 -726.019 1318.84 481.287 1461.17 1549.1 -1277.47 -729.203 2913.16 4190.53 487.521 -1892.86 -4831.11 -13131.5
1036000 -2846.74 3126.54 -576.61 1725.35 263.482 215.313 1499.18 3214.5 8241.49 3210.58 203.431 3063.9 4440.73 10417.4 6717.4 5700.19 4758.21 5153.21 5268.4 4716.89 2103.07 1511.54 2656.29 -1619.16 -3677.85 -520.407 -643.88 -3084.76 -604.527 -3671.02 -5869.77 -9978.42 -10187.1 -11090.7 -5908.46 -11732.1 -9593.58 -8966.09 -2468.7 837.721 2466.08 -2717.57 834.268 331.458 -2152.21 -3964.3 -2265.39 -1242.9 49.2012 3770.02 10972.3
1038000 4233.76 -851.215 -4608.14 712.868 3747.6 4385.42 4540.73 3489.14 -2505.48 3797.95 -1991.61 3044.76 1593.26 -321.424 -278.592 -4474.86 -2421.76 -2379.22 -2969 9.70331 -8034.47 -5322.47 -6134.53 -1859.77 -7305.11 -6478.73 -6137.2 -7819.6 -8597.6 -7175.26 -3535.45 -2908.41 1365.61 -303.983 2155.92 2623.46 5528.67 2231.59 5468.68 5361.08 7692.38 3442.79 4633.93 7241.67 4231.71 6661.36 3235.7 3937.72 3195.71 6102.64 -418.819
1040000 6633.16 1022.46 13.2507 -524.391 -716.561 -3380.41 -3147.66 -2998.73 -4918.02 -1365.22 -4312.67 -194.273 -2027.02 -2142.57 -3197.98 -4329.15 -3714.41 2629.32 -508.078 101.831 412.964 3674.34 2198 1487.72 1189.61 4218.58 3051.8 1131.27 3423.6 1553.41 2172.15 2705.23 779.812 5341.39 2349.08 2489.23 3456.67 5452.65 3989.57 -1910.3 -3816.23 -449.213 -5639.35 -2548.24 -1194.78 -1792.98 1441.69 1888.26 -2928.8 -6917.56 -11942.9
1042000 1950.12 1458.97 2769.75 5370.93 5438.94 594.733 2512.56 -1926.9 6852.02 8215.84 3677.14 6918.04 8895.17 7929.36 6842.63 9724.55 7425.96 7131.41 5062.14 4631.68 9993.17 3860.42 1685.2 -3842.2 -6531.21 -3949.9 65.6409 -1635.28 -4594.22 -7690.76 -7566.7 -10978.7 -12462.8 -8634.76 -7154.71 -6403.09 -6940.31 -6154.5 -2657.22 -1605.16 -2045.94 -2137.44 -2389.35 -3178.12 -7912.85 -2437.3 -771.998 -319.463 2534.44 -1522.63 -212.285
1044000 -1216.43 -1147.56 -4021.06 -2006.62 2557.17 -1425.31 1242.08 2435.03 5363.39 3311.28 3876.35 -2373.75 -5005.97 194.435 -658.876 -1265.77 -1531.86 -3508.27 -3140.06 -6335.21 -4439.33 -8949.85 -6456.33 -5284.4 -7098.96 -3613.47 -3503 -8703.19 -5873.24 -6999.64 -864.04 4961.29 3990.42 4461.32 5823.37 -76.2396 2285.98 5925.12 7194.64 2386.91 6192.73 7549.03 6138.16 3393.35 7755.49 2374.73 4464.95 3723.86 1604.46 1594.95 2860.17
