# Time-averaged data for fix AVE_xy
# TimeStep c_stress_Au1[4] c_stress_Au2[4] c_stress_Au3[4] c_stress_Au4[4] c_stress_Au5[4] c_stress_Au6[4] c_stress_Au7[4] c_stress_Au8[4] c_stress_Au9[4] c_stress_Au10[4] c_stress_Au11[4] c_stress_Au12[4] c_stress_Au13[4] c_stress_Au14[4] c_stress_Au15[4] c_stress_Au16[4] c_stress_Au17[4] c_stress_Au18[4] c_stress_Au19[4] c_stress_Au20[4] c_stress_Au21[4] c_stress_Au22[4] c_stress_Au23[4] c_stress_Au24[4] c_stress_Au25[4] c_stress_Au26[4] c_stress_Au27[4] c_stress_Au28[4] c_stress_Au29[4] c_stress_Au30[4] c_stress_Au31[4] c_stress_Au32[4] c_stress_Au33[4] c_stress_Au34[4] c_stress_Au35[4] c_stress_Au36[4] c_stress_Au37[4] c_stress_Au38[4] c_stress_Au39[4] c_stress_Au40[4] c_stress_Au41[4] c_stress_Au42[4] c_stress_Au43[4] c_stress_Au44[4] c_stress_Au45[4] c_stress_Au46[4] c_stress_Au47[4] c_stress_Au48[4] c_stress_Au49[4] c_stress_Au50[4] c_stress_Au51[4]
1002000 2117.99 579.956 -904.198 -1059.68 1778.35 -1492.34 1686.16 -707.105 2310.32 -1355.73 285.333 449.613 -2586.64 3256.06 -3201.3 988.759 94.5933 907.162 -1234.79 -736.132 3219.14 -2374.33 -428.191 652.288 -4121.56 -1920.62 344.693 1994.71 -556.413 -1135.6 0.837778 745.394 -2067.34 1654.09 -624.889 -0.618311 -2703.79 -1392.95 4876.75 -1329.74 860.327 -1537.01 958.455 733.786 -429.752 -2415.2 3771.75 -2665.61 3030.26 -2177.72 4620.21
1004000 -5074.03 -46.8702 1843.23 343.453 -2640.54 3234.81 546.639 -1439.55 -463.35 381.099 -403.733 3131.25 424.199 1504.94 1011.81 3440.03 1409.76 196.305 1696.01 -1562.37 -2176.56 318.41 -4544.32 769.286 -2018.57 -1351.54 -288.797 1152.35 -3979.72 807.563 -1295.37 -2329.99 -1127.13 856.048 -1144.04 627.462 157.606 688.707 332.884 -444.235 2095.01 -923.21 1395.16 3838.79 -732.58 -968.114 2284.77 -4377.57 884.585 1449.39 6137.66
1006000 -5920.36 2546.98 1346.91 857.789 402.111 735.068 -740.979 1675.46 -1549.49 -1615.29 4678.85 -930.91 -1330.9 1559.92 3125.77 -1272.27 2212.81 -6910.29 488.477 1205.43 -5682.7 2246.73 -1905.62 -1224.92 458.918 -2726.92 1677.17 3562.11 -5187.93 652.842 -1594.33 -2641.25 -166.659 861.231 486.248 -640.357 1185.76 -1535.07 -1491.74 -3654.5 -1313.76 3307.7 882.363 -1696.04 4539.74 -196.22 1301.63 -122.419 4698.83 1786.2 -320.082
1008000 1362.33 -770.543 -1344.39 -3124.94 -284.213 -5265.53 2405.73 2415.6 2722.11 2618.54 -2700.04 -1889.43 -2154.12 2203.63 -1024.9 -2025.14 2439.7 -1856.22 -637.241 1682.92 1187.55 -58.6803 421.762 -2512.2 -1860.9 -992.108 3732.96 -2229.22 973.355 811.321 1216.89 -2031.16 -341.947 1046.02 -5991.66 358.333 1147.36 -1305.15 -275.219 -381.535 1998.14 -411.324 4815.36 -1668.61 1687.07 -1836.91 3112.13 1146.73 2224.37 1079.7 -9687.23
1010000 -4579.7 1735 -391.683 1973.27 687.051 -2407.23 1785.66 -364.299 -1493.07 897.606 59.0279 -621.068 374.239 -1542.29 1492.18 763.668 -4887.06 -591.751 1513.14 1160.5 -2191.37 -914.547 948.771 -2420.86 3341.96 -1309.74 2470.71 -2775.07 -2219.47 5538.22 -1212.07 1722.96 -2779.67 2011.77 706.386 4409.17 -193.443 -857.474 699.294 -342.188 -904.631 745.488 2123 1266.73 -147.09 -623.818 -497.277 502.3 2221.83 3861.82 3374.18
1012000 5050.41 -135.28 -736.699 2008.72 -2209.27 -1460.39 1792.07 -1714.17 2125.28 -3712.6 1378.25 -263.3 544.617 396.645 -2507.86 1312.11 -269.134 -565.33 -542.21 5623.33 -3566.69 -1356.08 1032.18 -4524.09 2121.05 -1698 -3310.54 -1978.77 -2373.87 1369.52 -676.309 621.429 1350.49 -397.906 856.589 2147.52 -2919.44 -2216.98 -382.051 -1981.19 -1971.75 6.84419 727.795 3442.62 -1205.42 -661.479 -57.5112 4528.32 -1676.05 2419.36 -998.365
1014000 -3845.55 1491.15 291.858 -431.028 2619.01 -1073.5 4937.74 1214.76 603.666 -845.854 764.797 2254.97 -645.801 908.008 815.179 1810.69 -1739.16 3668.45 -2753.52 2622.68 -3697.54 -4207.52 1649.61 -3939.94 -1506.03 833.257 -416.714 1236.3 3059.48 -142.504 -977.432 3547.43 509.153 -3640.48 1481.94 -509.009 -1780.5 712.708 549.095 -2019.08 2452.03 -2529.91 2662.7 -3095.64 869.782 397.319 -695.407 -691.566 82.134 786.893 3413.52
1016000 3795.38 -566.82 -996.643 -384.134 3704.9 386.241 2109.03 -1330.28 -142.557 2307.16 -362.331 2844.69 -2989.86 711.574 -2991.04 -463.604 931.794 1985.97 -4985.95 2410.1 361.336 886.152 -2801.14 1953.46 -1502.04 2145.79 -2442.28 150.995 -839.129 743.643 -251.333 708.476 -1053.09 -4536.76 381.605 -584.421 1725 1185.15 -2518.62 -200.626 -911.117 1036.94 3082.89 -3688.86 2282.5 -1854.04 1128.19 -1103.62 -3246.69 43.3498 -7171.08
1018000 -665.378 -3012.78 2425.47 1405.68 -1674.05 -4124.22 4949.41 -3399.74 -269.919 1336.81 -3478.76 -788.836 -426.915 -653.504 2110 2653.85 -3012.5 4337.54 285.633 581.626 558.628 1634.47 -1713.39 -439.046 -2479.89 1971.28 -103.743 839.839 3837.08 -707.87 1609.03 -2516.37 -1511.13 1658.8 1239.45 1572.33 1618.58 869.5 -1337.48 -1420.72 2236 582.948 2420.06 -687.034 -110.642 -20.408 -2495.36 237.139 -3766.78 1803.6 5501.12
1020000 6512.32 -2487.76 388.851 -4297.5 -261.032 -5727.61 4271.41 -1857.3 -2629.53 2045.98 -1754.92 -285.457 267.018 503.307 -1149.53 1927.6 -1673.29 2029.98 -2499.05 1486.41 413.494 588.789 1316.24 244.491 -3284.81 1171.95 -1315.66 -317.199 962.622 449.445 3713.98 -1268.2 1997.98 -1778.28 1650.47 -1801.78 3433.77 -2729.95 1929.51 -323.55 127.013 -3178.87 -1153.98 3094.79 -2413.89 5040.48 -1837.76 -229.69 -299.439 2826.63 1214.23
