# Time-averaged data for fix AVE_xz
# TimeStep c_stress_Au1[5] c_stress_Au2[5] c_stress_Au3[5] c_stress_Au4[5] c_stress_Au5[5] c_stress_Au6[5] c_stress_Au7[5] c_stress_Au8[5] c_stress_Au9[5] c_stress_Au10[5] c_stress_Au11[5] c_stress_Au12[5] c_stress_Au13[5] c_stress_Au14[5] c_stress_Au15[5] c_stress_Au16[5] c_stress_Au17[5] c_stress_Au18[5] c_stress_Au19[5] c_stress_Au20[5] c_stress_Au21[5] c_stress_Au22[5] c_stress_Au23[5] c_stress_Au24[5] c_stress_Au25[5] c_stress_Au26[5] c_stress_Au27[5] c_stress_Au28[5] c_stress_Au29[5] c_stress_Au30[5] c_stress_Au31[5] c_stress_Au32[5] c_stress_Au33[5] c_stress_Au34[5] c_stress_Au35[5] c_stress_Au36[5] c_stress_Au37[5] c_stress_Au38[5] c_stress_Au39[5] c_stress_Au40[5] c_stress_Au41[5] c_stress_Au42[5] c_stress_Au43[5] c_stress_Au44[5] c_stress_Au45[5] c_stress_Au46[5] c_stress_Au47[5] c_stress_Au48[5] c_stress_Au49[5] c_stress_Au50[5] c_stress_Au51[5]
1002000 1625.03 -297.585 -1151.9 1034.41 4930.38 7312.35 7249.4 6622.09 5984.45 5015.3 4318.99 992.993 -1352.81 -1573.58 -2033.59 -3298.08 -2334.64 -2522.32 -4001.81 -5754.48 -4138.35 -1659.65 355.514 1870.67 3458.15 3815.62 4997.18 5179.08 3509.31 1919.04 2035.14 1341.66 -1215.28 -1818.21 871.504 1364.99 -488.716 -2708.02 -2499.39 -1171.11 -1615.26 -3645.48 -4726.95 -2534.91 -544.953 -2485.75 -4686.22 -5048.46 -4801.72 -1792.11 -1908.6
1004000 -5484.13 -6093.51 -5426.8 -5687.7 -6380.63 -6676.75 -5333.1 -1744.1 1246.11 1226.78 1067.05 4942.53 8090.51 7525.14 7510.89 8856.87 8952.36 7548.96 6004.56 5179.08 3948.34 3432.4 3546.9 2776.53 3056.16 2380.3 841.379 -176.4 -1407.4 -2190.63 -1740.06 -3430.09 -4836.13 -4955.58 -7102.55 -7498.17 -6858.72 -6026.51 -4782.8 -4132.91 -3472.42 -3112.38 -1005.89 1247.87 3135.21 3585.74 4681.48 4707.89 2160.12 -3774.64 -7102.52
1006000 6514.14 5517.49 4577.76 3771.25 2343.27 1871.54 136.656 -2268.91 -342.84 2462.38 2575.23 -137.69 -1120.96 -2059.34 -3799.99 -4039.06 -4194.98 -5541.81 -6172.12 -3614.22 -4845.95 -7935.48 -7970.54 -5821.14 -3796.19 -2807.27 -1610.13 -694.357 3327.01 6429.98 7643.96 8532.56 9509.88 8756.03 6083.69 4801.41 2949.6 767.317 -421.493 -1136.97 -1621.18 -1522.73 -3612.46 -4865.63 -4027.42 -2412.13 -1247.47 -821.056 -170.771 2906.33 5770.3
1008000 -2716.4 1127.86 663.944 668.755 -1472.63 -4242.35 -5712.82 -4493.31 -6408.28 -9796.99 -10050.6 -6508.49 -5026.78 -3275.48 -904.276 63.5222 2394.82 4671.13 2044.37 562.843 3857.56 6013.33 2869.87 -867.443 -1503.67 -3981.44 -6501.66 -6354.16 -4241.68 -4826.12 -4756.05 -4110.71 -2620.22 -843.664 -644.599 358.774 1582.41 3946.68 4370.58 4467.88 5300.06 5996.26 7561.65 7135.46 5345.01 5462.11 5931.65 6232.03 6199.06 4296.1 7779.51
1010000 -2304.98 -2811.91 -557.224 4231.9 6233.06 7816.33 10460.9 10055.7 8965.02 8310.07 5129.61 1803.86 1357.68 -410.603 -2033.38 -800.712 -416.209 -2512.76 -3072.53 -1721.57 -1714.26 -722.01 637.155 -122.757 790.671 2523.51 2764.5 3821.52 4452.16 3194.37 618.749 -1880.14 -1956.59 -305.101 3251.03 4561.4 3978.52 1991.65 -789.174 -3259.72 -3900.03 -4546.58 -5972.59 -6693.5 -8271.04 -9134.6 -10620.9 -11848 -8725.56 -4377.66 -4054.44
1012000 -3547.84 -3086.33 -3262.77 -4226.07 -3229.51 -1585.79 -2848.33 -3839.7 -2436.93 -2249.83 327.073 2400.99 1524.81 2403.81 4767.65 3417.54 2795.34 4361.13 5924.19 5846.71 7075.27 7454.28 7848.06 8817.89 6004.23 2776.83 3901.8 2717.55 -834.173 -2522.08 -5600.55 -7736.91 -7551.54 -8578.88 -10040.1 -9796.27 -7490.3 -5230.45 -2520.23 -1356.32 1511.29 4510.18 4073.92 1991.79 2176.54 3582.12 3544.18 2253.05 1194.98 -1229.92 -3645.33
1014000 663.174 2009.12 3142.19 1437.85 -1265.97 -2190.83 -808.078 -975.632 211.439 4342.14 4858.91 2162.3 540.292 -2119.13 -3291.22 -3000.96 -5003.65 -7639.77 -7273.43 -7480.79 -10824.3 -11498.9 -10057.2 -7086.88 -4774.17 -1581.71 -1412.52 50.5954 2069.56 6586.68 9485.46 8882.44 9136.6 9292.64 8446.2 6166.34 2947.51 956.558 1118.76 1351.9 1925.99 2964.84 1793.49 2607.72 119.817 -1392.08 -747.338 226.309 -111.285 -96.2108 789.799
1016000 722.551 1783.27 1188.77 339.058 -1216.93 -3420.69 -5267.93 -5335.97 -8250.45 -10571.9 -9105.82 -5458.89 -5023.97 -2412.17 -311.995 506.568 2670.49 3469.69 1469.48 -507.762 426.135 1229.73 1154.48 -351.05 -2161.41 -1134.32 -1467.61 -2311.85 -2457.33 -1946.28 -151.178 -737.421 -3188.12 -4021.88 -2802.21 -1013.72 -466.581 -144.58 804.297 3714.58 1891.79 -1501.87 282.334 3987.68 6920.03 9737.61 10427.9 9343.76 7850.39 5004.02 4204.15
1018000 -3455.96 -331.193 -548.558 1440.9 4016.04 5926.86 5992.13 7020.1 8426.65 8227.46 7098.39 5459.23 4802.39 4976.84 5577.04 5058.77 4528.21 6055.65 6013.99 2973.09 -339.131 -1419.98 -1513.69 -1672.12 -2246.81 -2074.25 -647.48 1537.89 1899.46 -2556.75 -3892.43 -969.776 2091.53 2653.76 1794.33 3619.5 2713.75 1256.8 -369.337 -3090.68 -5916.1 -7487.86 -7816.65 -9231.73 -9547.56 -11007.3 -10907.9 -9571.41 -6940.29 -2486.6 3292.14
1020000 11285.1 2016.63 994.687 -164.41 61.8532 543.66 -1217.47 -3883.6 -4871.13 -1738.98 -1855.88 -3314.26 -2317.74 -1631.97 -2458.6 -2433.06 -2806.03 -3127.05 761.305 6314.34 10514.6 10557.2 9546.06 9958.52 8548.26 4417.14 2596.95 486.369 -1355.81 -2128.2 -2355.94 -3253.42 -5148.46 -4891.85 -6372.9 -7674.52 -6581.49 -3310.76 -2856.21 -1116.71 2501.69 5340.31 3644.48 412.737 -728.091 -1355.85 -1058.06 927.533 960.031 1881.89 -8113.44
