# Time-averaged data for fix AVE_yy
# TimeStep c_stress_Au1[2] c_stress_Au2[2] c_stress_Au3[2] c_stress_Au4[2] c_stress_Au5[2] c_stress_Au6[2] c_stress_Au7[2] c_stress_Au8[2] c_stress_Au9[2] c_stress_Au10[2] c_stress_Au11[2] c_stress_Au12[2] c_stress_Au13[2] c_stress_Au14[2] c_stress_Au15[2] c_stress_Au16[2] c_stress_Au17[2] c_stress_Au18[2] c_stress_Au19[2] c_stress_Au20[2] c_stress_Au21[2] c_stress_Au22[2] c_stress_Au23[2] c_stress_Au24[2] c_stress_Au25[2] c_stress_Au26[2] c_stress_Au27[2] c_stress_Au28[2] c_stress_Au29[2] c_stress_Au30[2] c_stress_Au31[2] c_stress_Au32[2] c_stress_Au33[2] c_stress_Au34[2] c_stress_Au35[2] c_stress_Au36[2] c_stress_Au37[2] c_stress_Au38[2] c_stress_Au39[2] c_stress_Au40[2] c_stress_Au41[2] c_stress_Au42[2] c_stress_Au43[2] c_stress_Au44[2] c_stress_Au45[2] c_stress_Au46[2] c_stress_Au47[2] c_stress_Au48[2] c_stress_Au49[2] c_stress_Au50[2] c_stress_Au51[2]
1002000 2525.24 3176.5 850.71 1466.6 1741.45 -2795.7 -2014.48 1134.29 2855.28 -1744.52 -1213.61 -493.395 -4753.2 -2686.39 -2957.96 -2206.27 -1417.29 -7634.36 -5789.17 -9092.53 -3852.62 -4808.61 -2503.58 -5445.15 -4674.28 -4779.42 -1635.32 -1862.44 -3320.4 -4700.02 761.449 -3157.5 1961.45 -2272.81 5623.24 5943.1 9189.87 7923.62 5951.74 3326.98 -1112.94 2629.3 5402.22 3738.25 3393.28 3584.2 4142.05 7526.06 5395.51 389.058 369.862
1004000 -4171.79 -4911.1 -4784.47 -7528.5 -2717.23 -3410.65 -2518.91 -6180.94 -5277.21 -7469.52 -6317.53 -2483.56 -2772.63 -4186.57 953.953 -767.35 781.872 1630.48 3124.64 5852.23 7288.19 4659.88 4703.47 1302.19 3087.29 3090.2 6950.04 5868.19 7684.33 3690.96 9370.69 2691.53 2887.67 -1954.78 5608.11 2031.97 1485.82 -2711.49 -2517.24 -3777.41 -1430.62 -1642.5 -4466.23 1460.48 670.878 -526.829 1609.42 1758.18 -1323.31 -546.395 -2372.08
1006000 -3629.68 2189.53 3054.23 5222.01 4214.19 289.105 -2244.47 -400.044 1546.57 4349.21 2839.04 3676.69 5324.55 11629.2 11077.6 617.67 7636.18 5627.69 7309.57 5944.92 4673.82 1590.32 3010.15 3534.64 -755.067 -1342.53 -171.917 1439.4 -485.833 -3662.58 779.806 -7127.87 -2082.38 -9022 -8976.94 -13770 -8630.31 -6052.42 -4351.21 -5402.28 -4200.99 -6468.54 -2144.44 -3170.28 -2870.85 -397.999 -3400.91 -1892.78 -1045.14 -2066.12 6395.43
1008000 -1300.11 2491.51 -3098.86 -977.868 -3412.95 -705.798 -4241.58 -2538.44 -2870.09 -3080.82 -1760.54 -2762.04 -2259.24 -4731.01 -815.051 -2948.67 -860.297 -4414.54 -1338.52 -1403.29 -2075.96 -3924.14 -3213.25 -3936.59 -2745.96 2020.62 544.386 1507.15 -3772.35 -2252.93 -3354.46 -3304.17 2506.68 3024.84 699.578 6405.39 8013.53 1894.26 2781.24 3515.21 6315.09 4142.14 6642.6 4379.56 3699.81 2954.62 3339.32 2455.37 4486.13 335.056 7956.13
1010000 -8927.87 -6060.63 -4789.7 -3272.55 -4487.56 -4229.64 -5114.79 -3616.05 -4020.72 -4740.72 -11425.6 -4804.67 -4048.97 -7822.2 -5646.47 -3848.85 -6315.23 -1109.44 5149.51 5878.76 2055.15 6563.43 4776.74 6717.31 5111.19 10679 7998.4 4611.26 6593.52 5505.34 9444.3 1970.75 6923.2 4515.27 1338.44 2828.69 -536.094 -2037.59 -1841.63 -2054.17 -4100.13 -1118.76 -1144.4 -2251.05 688.191 -3471.94 432.084 3183.73 706.128 -2675.03 1682.07
1012000 2038.07 2270.62 8498.14 4836.68 3660.68 1836.79 2158.41 1068.04 2812.69 5790.22 309.242 2327.45 5719.53 6391.56 5733.46 6137.31 8407.78 6425.62 6106.13 1940.82 -1365.2 -510.242 714.609 1880.11 -1532.69 2404.65 -4294.64 -1541.93 -2206.2 -4147.05 453.721 -3811.08 -4942.84 -4844.36 -10031.3 -7331.02 -4376.41 -8269.58 -2554.11 -45.2864 -2768.36 -3897.65 -3616.65 -2897.14 -4401.24 -3528.03 -1390.39 -2267.34 -926.533 -2554.16 5792.46
1014000 1736.21 1840.12 -184.579 -2373.73 -985.69 195.344 2748.24 -1754.01 -4180.57 -3772.91 -2726.83 -2937.13 -3086.84 -3643.33 -661.793 -3604.8 -5169.96 -4511.96 -6303.43 -5494.05 -4429.25 -2737.3 -6218.85 -5169.46 -7266.3 -3897.94 -5670.71 -1018.65 -1950.95 -523.287 -671.883 2205.39 -223.305 3279.35 6661.96 8672.44 9127.46 5434.74 2267.21 6703.54 6592.87 6493.36 6996.85 2942.6 6375.4 4749.85 6127.08 3560.44 3501.37 2056.23 4372.98
1016000 -10163.5 -6297.15 -2961.25 -1835.62 -2582.43 -3937.54 -7912.67 -3629.18 -2668.17 -6144.6 -4518.51 -5630.53 -6585.58 -6376.72 -5385.3 -5976.78 -3320.96 -5243.41 -355.779 3493.07 2483.18 1173.15 532.159 6969.1 7666.26 6194.87 7400.41 7324.41 3590.1 8614.3 7009.55 4977.53 7796.86 6586.19 7282.12 1006.61 -3137.46 -1793.03 1647.54 485.358 -3775.21 -2512.19 -165.339 -967.265 1937.79 2622.61 1184.81 490.061 -3281.82 -7126.76 3643.9
1018000 8186.27 5995.24 4347.13 5585.9 3604.2 5968.9 2922.41 2641.23 4860.79 2436.6 3717.38 4863.56 4958.5 5058.48 5984.84 5522.23 5002.96 3885.29 948.832 1589.82 -1166.06 -899.254 1259.4 88.456 -4120.47 -2921.87 -556.11 -4130.32 -3787.32 -1429.59 -5419.7 -2326.09 -6655.94 -12302.2 -10444.5 -9099.03 -3671.98 -3561.48 -3141.95 -2692.07 -2628.08 1379.26 -2848.98 813.184 1037.5 -2289.97 -4073.13 407.36 673.48 1695.4 1736.81
1020000 7761.39 -1751.63 -3970.24 608.42 -2311.03 -1957.21 22.7676 -1410.39 -959.669 681.318 -461.597 -5107.6 -5038.72 3340.05 -1062.71 -3499.73 -7000.55 -11151.7 -6171.07 -8887.77 -7676.39 -596.761 -4640.18 -5693 -6660.46 -4074.14 -3341.33 -3309.44 -4087.49 -1933.36 -2337.35 529.731 -525.81 5653.26 7049.03 6625.15 6373.73 6170.08 4822.86 2969.44 2707.15 5867.31 7217.13 3439.25 6086.55 5171.81 6097.59 10042.6 6541.79 1816.78 -2220.07
