# Time-averaged data for fix AVE_yz
# TimeStep c_stress_Au1[6] c_stress_Au2[6] c_stress_Au3[6] c_stress_Au4[6] c_stress_Au5[6] c_stress_Au6[6] c_stress_Au7[6] c_stress_Au8[6] c_stress_Au9[6] c_stress_Au10[6] c_stress_Au11[6] c_stress_Au12[6] c_stress_Au13[6] c_stress_Au14[6] c_stress_Au15[6] c_stress_Au16[6] c_stress_Au17[6] c_stress_Au18[6] c_stress_Au19[6] c_stress_Au20[6] c_stress_Au21[6] c_stress_Au22[6] c_stress_Au23[6] c_stress_Au24[6] c_stress_Au25[6] c_stress_Au26[6] c_stress_Au27[6] c_stress_Au28[6] c_stress_Au29[6] c_stress_Au30[6] c_stress_Au31[6] c_stress_Au32[6] c_stress_Au33[6] c_stress_Au34[6] c_stress_Au35[6] c_stress_Au36[6] c_stress_Au37[6] c_stress_Au38[6] c_stress_Au39[6] c_stress_Au40[6] c_stress_Au41[6] c_stress_Au42[6] c_stress_Au43[6] c_stress_Au44[6] c_stress_Au45[6] c_stress_Au46[6] c_stress_Au47[6] c_stress_Au48[6] c_stress_Au49[6] c_stress_Au50[6] c_stress_Au51[6]
1002000 -13181 -9070.64 -12061.7 -15365.8 -16673.9 -13057.5 -9164.28 -5465.42 -4006.2 -2060.16 -994.648 376.791 60.725 -400.52 1645.83 5255.63 6534.05 6584.25 7127.97 6628.33 8966.7 11251.3 10243.3 8114.98 7831.25 9419.54 10235.8 8705.52 4045.62 1552.82 -386.256 -3450.31 -5371.52 -6455.64 -6658.87 -5543.59 -1765.79 349.739 643.262 360.146 2040.2 4087.04 7024.34 5997.69 2997.55 -525.407 -806.006 -8.81412 -1495.15 -6656.99 -4772.86
1004000 7234.08 9167.7 11342.3 13016.2 13902.8 12589.6 12666.1 12489.1 11592.5 8885.19 7284.31 5183.58 1908.27 1707.85 -520.77 -3940.42 -9411.28 -14225.3 -14893.9 -10856.8 -10693.6 -11577.9 -10523 -8455.56 -5300.95 -4102.66 -6689.79 -8047.31 -5735.42 -2266.13 -4403.7 -6180.46 -5220.08 -3293.18 -1458.99 137.619 -1429.49 -1910.56 184.579 951.22 -150.913 -1513.9 1346.16 4132.68 3183.06 2161.29 2371.82 2766.98 3350.43 3507.71 2845.65
1006000 7298.53 8247.11 6331.76 3991.69 1050.82 -517.822 -1575.22 -2911.27 -4083.32 -6288.47 -5803.14 -3869.01 -1694.7 -322.954 -507.323 310.742 2330.34 4053.63 2471.68 66.9832 -587.075 369.831 263.406 -2044.05 -4591.79 -8311.2 -8037.91 -5516.04 -7504.92 -10732.5 -9470.36 -5176.6 -4089 -3433.99 -1453.33 -583.386 -595.018 300.42 1314.02 234.228 4298.55 6165.77 3315.07 2424.84 4091.38 5519.49 8243.7 7614.36 4877.43 7533.2 11145.7
1008000 -11413.6 -7574.34 -8199.04 -8049.36 -6267.96 -6416.09 -9348.6 -8519.41 -5467.3 -3543.48 -2458.64 -699.436 1566.55 2006.56 2779.65 4160.51 6368.23 8305.9 8895.46 7043.66 5636.77 3242.13 3548.89 2820.2 3403.34 4344.47 6425.78 9287.72 10115.8 11645.6 12028.4 11765.3 11739.3 10895.7 9072.94 8551.78 5247.89 1678.78 1779.27 -14.778 -4755.2 -8387.78 -12061.6 -13891.6 -13018 -11283.3 -11781.7 -11266.3 -6969.68 -4229.56 -1962.92
1010000 -7440.36 -1846.38 -1748.92 537.164 -1555.11 -3881.28 -2589.97 -2976.62 -5441.27 -4588.33 -2050.79 345.366 569.195 -1477.07 -345.39 3062.32 2236.25 -994.67 1241.64 4398.65 5810.93 4499.06 4159.93 4397.66 4413.43 5639.37 4059.65 2197.63 2703.74 2926.39 2244.08 1439.04 728.684 -741.664 -3178.86 -4770.22 -3633.81 -1507.67 -1392.6 -2213.58 -2672.04 -2133.43 -561.66 599.117 927.423 -233.41 993.949 1657.08 -571.262 -3093.77 3945.39
1012000 -4175.12 6220.72 7121.14 6579.27 7917.47 8748.72 8475.68 11424.9 12963.2 11205 7393.75 5363.93 1783.93 -1584.42 -867.797 -3576.59 -6688.9 -8866.65 -12390.6 -12657.8 -11839.2 -13131.8 -11918.1 -8510.29 -5994.77 -5622.88 -6895.83 -8823.47 -9697.03 -11895.6 -11249.3 -8891.01 -8086.69 -7959.49 -5950.24 -5542.57 -1551.44 1318.44 1996.48 4322.85 7183.2 10069.2 12230.8 11389 9943.18 8964.52 6192.38 2637.66 3013.02 3538.64 12847
1014000 972.244 -716.863 1136.81 3707.37 2421.43 2609.11 4044.34 4572.23 3111.85 599.226 -3315.88 -4291.9 -2585.16 -1151.44 -2789.23 -5485.4 -3954.76 -1261.18 253.951 -253.285 916.046 1377.97 3398.41 3709.89 1511.94 698.779 2113.43 3846.82 3586.77 2348.7 678.003 -2004.95 -5208.42 -6619 -4752.97 -2267.95 471.007 362.639 690.855 537.471 -324.013 -7.27408 -832.039 -1162.54 209.629 2243.22 2262.42 767.286 1015.14 1869.17 458.926
1016000 -4894.53 -7025.92 -9983.71 -12846.1 -12505.2 -10919.8 -11053.3 -11089.8 -11537.1 -8082.93 -3679.05 -1235.44 954.019 1865.43 4975.44 9447.2 10587.5 10652.8 13654.8 13055.6 10694.9 10753.3 9308.14 5411.41 4714.55 5395.83 3762.57 3527.95 6452.15 7851.42 8563.87 8254.37 9364.85 11894.7 10720.9 7819.81 3250.68 -35.288 -614.598 -1775.39 -2709.05 -3977.75 -7229.71 -9534.09 -9510.51 -11548.7 -11306.2 -9914.29 -10720 -9757.23 -8763.24
1018000 8943.95 4611.79 7251.28 6470.66 6747.41 5591.44 1483.29 -1664.9 -3332.36 -4509.09 -3426.56 -3821.21 -3300.86 -1254.34 -556.856 -1849.91 -1785.85 -1379.26 -2819.74 -2946.88 -3563.26 -3800.79 -4503.86 -4810.4 -5200.97 -3349.26 -1085.15 561.639 943.134 1962.48 3280.58 3258.16 5782.41 7309.42 4029.66 567.412 -1543.64 -2223.05 -2574.71 -4052.47 -5663.17 -5727.11 -2515.8 25.0109 -467.245 -1043.52 1857.42 5214.38 5882.13 6022.18 -1023.12
1020000 3217.82 3812.12 4100.52 4566.98 5293.76 5730.66 6578.11 5957.81 7187.22 8400.53 6988.43 4054.82 3272.12 3149.94 1815.36 281.665 -365.233 -1545.92 -2821.06 -5401.58 -6663.92 -7434.16 -10580.6 -12464.4 -11726.7 -9922.37 -10377.7 -13061.3 -14303.2 -14904.3 -12504.4 -10288.5 -12427.8 -14894 -10463.6 -5344.64 -2762.14 -265.862 696.697 3281.26 8848.86 10955.1 10467.8 11227.8 11510.4 12769.9 12332.4 11049.1 8917.52 7600.83 7663.53
