# Time-averaged data for fix AVE_zz
# TimeStep c_stress_Au1[3] c_stress_Au2[3] c_stress_Au3[3] c_stress_Au4[3] c_stress_Au5[3] c_stress_Au6[3] c_stress_Au7[3] c_stress_Au8[3] c_stress_Au9[3] c_stress_Au10[3] c_stress_Au11[3] c_stress_Au12[3] c_stress_Au13[3] c_stress_Au14[3] c_stress_Au15[3] c_stress_Au16[3] c_stress_Au17[3] c_stress_Au18[3] c_stress_Au19[3] c_stress_Au20[3] c_stress_Au21[3] c_stress_Au22[3] c_stress_Au23[3] c_stress_Au24[3] c_stress_Au25[3] c_stress_Au26[3] c_stress_Au27[3] c_stress_Au28[3] c_stress_Au29[3] c_stress_Au30[3] c_stress_Au31[3] c_stress_Au32[3] c_stress_Au33[3] c_stress_Au34[3] c_stress_Au35[3] c_stress_Au36[3] c_stress_Au37[3] c_stress_Au38[3] c_stress_Au39[3] c_stress_Au40[3] c_stress_Au41[3] c_stress_Au42[3] c_stress_Au43[3] c_stress_Au44[3] c_stress_Au45[3] c_stress_Au46[3] c_stress_Au47[3] c_stress_Au48[3] c_stress_Au49[3] c_stress_Au50[3] c_stress_Au51[3]
1002000 9582.09 2818.56 2573.25 1742.38 -2974.06 -5235.44 -1208.68 2511.92 1579.5 202.383 -2243.35 -5325.82 -5093.03 -4591.95 -4391.45 -1021.54 -4130.42 -4909.61 -8463.82 -11159.6 -10813.4 -6496.57 -6796.78 -5827.41 -4743.07 -5986.76 -5734.87 -3163.59 -1855.26 -1367.94 -1120.25 -458.357 -86.1141 1359.9 1902.13 7694.79 8893.17 11978 11304.1 7166.41 2483.68 2754.85 5298.81 6745.07 6334.36 6141.49 6594.87 5619.76 3241.11 1673.37 -11424.2
1004000 -2327.86 -5606.78 -9889.07 -7361.19 -4966.01 331.067 -2249.41 -5816.4 -8380.07 -7511.35 -4821.8 -4298 -3113.37 -5692.92 -7862.52 -5782.65 -4351.29 -3589.37 1471.71 8838.84 9318.05 7533.21 5850.65 5253.03 6868.7 9148.9 8720.38 6614.87 4760.25 7223.9 7587.58 8476.52 5221.69 5996.47 5896.68 5882.02 1107.03 -1827.03 -5199.3 -5974.65 -1043.99 506.525 -2984.59 -1477.32 -1776.94 -3432.92 -917.067 -126.82 -1299.94 -673.874 -3279.38
1006000 861.315 3771.03 7133.91 10142.6 6463.89 2089.73 1513.41 3773.54 6813.84 9918.71 7466.61 7047.34 9750.16 11523.6 10329.9 9676.53 7607.22 8816.43 8088.15 4118.71 -1191.99 -1622.77 2454.21 778.048 -150.653 -2504.71 -3750.48 -2929.2 -3172.11 -5054.64 -5812.2 -5161.47 -7700.47 -8238.19 -13118.5 -13128.2 -12553.7 -8593.09 -5179 -4132.16 -5662.13 -3123.38 -3995.35 -5150.41 -4826.68 -4848.52 -6367.31 -4804.94 -3325.05 -3374.21 520.952
1008000 -4327.6 3784.06 2072.8 -2197.87 -2464.32 -2064.26 961.922 1002.65 500.826 -752.657 -2608.39 -2115.15 -4185.2 -3837.4 -2305.6 -1864.36 -4499.76 -7462.91 -11338.9 -9872.07 -5726.78 -6333.9 -7563.44 -7553.77 -8211.08 -7238.11 -4270.26 -4014 -3021.47 -3547.43 -4957.89 -1559.51 95.8699 613.952 6041.55 11805.8 11128.9 9438.56 7261.03 7865.94 7531.25 6976.12 7251.16 7030.47 6067.8 8401.59 6479.25 5110.99 2868.58 3887.13 10413.1
1010000 -4132.03 -8887.87 -7077.44 -6834.88 -5614.83 -3113.06 -4044.05 -4586.57 -6776.94 -8871.04 -5659.31 -6177.29 -7886.03 -9034.8 -9118.7 -8489.17 -5468.96 -1981.99 3729.52 6608.07 5527.12 4421.9 4793.93 6852.43 9482.82 10717.1 9688.33 7825.56 7656.82 8772.15 9745.52 8551.56 7458.4 9314.32 5964.64 2079.63 774.079 -1141.37 -3439.6 -2476.92 -4471.17 -2711.29 -2669.98 -2508.85 -1297.7 -2897.81 -1737.28 16.2537 70.6852 -1519.21 -10932.1
1012000 15973.2 5174.47 7786.97 8044.42 7075.96 4525.65 2915.85 4078.92 7363.66 8216.35 8622.91 9799.45 12508.1 11343.3 8964.31 11203.8 9202.01 9845.61 8189.02 3628.54 -154.11 -722.121 76.3343 994.802 -797.837 -4486.61 -3664.98 -6985.15 -5843.46 -6665.05 -6190.54 -6299.42 -8954.27 -13500 -12697.2 -12451.4 -10957.4 -7223.05 -5481.43 -3680.94 -4525.72 -5357.49 -4997.13 -3144.6 -5226.09 -5822.52 -4992.68 -4929.1 -2713.31 914.002 -8831.89
1014000 5508.9 1532.92 333.209 -610.696 -3244.67 -894.168 1203.22 1328.9 -1986.78 35.3072 -1454.45 -3149.05 -4273.94 -2109.64 -1113.35 -1888.83 -4874.67 -8215.38 -10646.3 -10947.5 -5524.31 -3492.17 -5854.26 -9635.05 -7629.41 -6706.36 -3871.34 -2833.47 -2591.13 -3592.89 -3742.67 -1084.23 873.286 2007.78 6187.42 9908.81 11066.5 8040.89 5016.11 6384.72 7894.2 9587.28 6736.31 5837.81 5729.43 8622.79 7572.77 4410.5 2618.88 3839.52 -594.397
1016000 -8390.33 -7727.78 -7014.34 -5975.63 -3917.02 -5724.89 -7109.76 -5411.41 -6380.69 -6231.22 -7574.88 -8008.58 -9668.7 -8818.27 -7649.01 -7942.74 -5896.69 -2501.69 2741.52 8297.93 4839.2 1562.66 6409.05 8303.03 11635.3 9795.21 8041.83 9372.24 9874.99 10193.3 10054.5 8297.5 9605.9 13219.1 9216.18 1779.8 -1198.96 -220.8 431.444 -102.791 -2969.95 -4552.85 -4912.75 -3069.72 -2162.32 -619.525 -2014.87 -192.936 -1262.98 -3854.62 -9687.99
1018000 6224.8 8995.22 7004.94 4743.81 4548.3 4744.27 6030.54 8064.6 5878.49 6536.27 9110.59 12213.3 12888.1 11602.1 9046.22 11362.8 11444 10165 5503.44 2671.9 1626.66 2443.04 180.621 -64.4412 -1244.98 -2177.69 -3314.17 -5076.02 -6540.4 -5198.86 -4193.89 -8548.44 -10785.7 -17234.5 -18194 -12358 -9770.77 -5180.36 -5706.14 -6563.57 -5164.21 -3564.74 -3566.05 -1478.26 -4549.89 -5854.42 -4904.91 -3646.24 -2020.95 3117.99 6512.95
1020000 191.191 -2316.05 -2473.41 864.333 2789.66 15.3343 702.417 320.479 -2663.35 -1125.24 -2642.43 -3801.73 -2122.19 -938.896 -1468.49 -4456.75 -6567.23 -7817.12 -8976.1 -9864.29 -7634.36 -6102.41 -7831.91 -9123.69 -8645.31 -7766.61 -7501.68 -5712.73 -4523.69 -6333.34 -5346.08 -1466.37 1734.89 6176.75 10689.2 9951.9 8476.69 7163.68 4329.47 8270.67 8760.67 7597.39 8815.06 7249.32 5979.43 7252.14 7367.41 5164.58 4270.8 3182.03 -2660
